Dep_ID,month_UTC,light_reg,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres,tidal_mag_m,mean_water_temp_C,mean_wind_m_sec,mean_wind_km_h,rain_month_avg_mm,wind_am_month_avg_kmh,wind_pm_month_avg_kmh
MURAT_202002_MRE,4,night,30,330,11,0,38,54,0,0,1,46,0.03333333333333333,0,0.11515151515151516,0.16363636363636364,0,0,0.0030303030303030303,0.1393939393939394,1.002,19.299065420560748,NA,NA,19.9,14.2,21.3
MURAT_202002_MRE,4,twilight,30,58,3,0,22,7,0,0,0,34,0.05172413793103448,0,0.3793103448275862,0.1206896551724138,0,0,0,0.5862068965517241,0.8070000000000002,19.28035714285714,NA,NA,19.9,14.2,21.3
NINGALOO_201909_NGN,10,day,31,391,0,191,14,26,14,0,0,32,0,0.4884910485933504,0.03580562659846547,0.06649616368286446,0.03580562659846547,0,0,0.08184143222506395,2.26,NA,NA,NA,1.4,21,23.6
NINGALOO_201909_NGN,10,night,31,299,0,218,32,20,5,0,0,30,0,0.7290969899665551,0.10702341137123746,0.06688963210702341,0.016722408026755852,0,0,0.10033444816053512,2.21,NA,NA,NA,1.4,21,23.6
NINGALOO_201909_NGN,10,twilight,31,54,0,36,30,1,4,0,0,31,0,0.6666666666666666,0.5555555555555556,0.018518518518518517,0.07407407407407407,0,0,0.5740740740740741,1.53,NA,NA,NA,1.4,21,23.6
NINGALOO_201909_NGN,11,day,17,221,0,12,3,21,8,1,0,15,0,0.05429864253393665,0.013574660633484163,0.09502262443438914,0.03619909502262444,0.004524886877828055,0,0.06787330316742081,2,NA,NA,NA,1.8,21.5,24.7
NINGALOO_201909_NGN,11,night,17,153,0,70,34,11,1,0,0,11,0,0.45751633986928103,0.2222222222222222,0.0718954248366013,0.006535947712418301,0,0,0.0718954248366013,1.8900000000000001,NA,NA,NA,1.8,21.5,24.7
NINGALOO_201909_NGN,11,twilight,17,34,0,8,17,1,4,0,0,25,0,0.23529411764705882,0.5,0.029411764705882353,0.11764705882352941,0,0,0.7352941176470589,1.37,NA,NA,NA,1.8,21.5,24.7
SIMP_201808_WP,8,day,23,243,3,243,34,17,93,0,0,22,0.012345679012345678,1,0.13991769547325103,0.06995884773662552,0.38271604938271603,0,0,0.09053497942386832,1.3250000000000002,15.098765432098766,5.372427983539095,19.340740740740742,79.5,11.5,18.2
SIMP_201808_WP,8,night,22,242,3,242,68,61,15,0,0,23,0.012396694214876033,1,0.2809917355371901,0.25206611570247933,0.06198347107438017,0,0,0.09504132231404959,1.977,15.076446280991735,4.546280991735538,16.366611570247933,79.5,11.5,18.2
