height_cm,YYYYMMDD,hhmm/
48,20191014,0600/
66,20191014,0700/
98,20191014,0800/
141,20191014,0900/
179,20191014,1000/
205,20191014,1100/
212,20191014,1200/
200,20191014,1300/
169,20191014,1400/
124,20191014,1500/
82,20191014,1600/
60,20191014,1700/
59,20191014,1800/
79,20191014,1900/
114,20191014,2000/
157,20191014,2100/
195,20191014,2200/
218,20191014,2300/
222,20191015,0000/
204,20191015,0100/
169,20191015,0200/
119,20191015,0300/
74,20191015,0400/
42,20191015,0500/
32,20191015,0600/
42,20191015,0700/
71,20191015,0800/
112,20191015,0900/
156,20191015,1000/
190,20191015,1100/
207,20191015,1200/
203,20191015,1300/
182,20191015,1400/
143,20191015,1500/
98,20191015,1600/
65,20191015,1700/
55,20191015,1800/
68,20191015,1900/
99,20191015,2000/
140,20191015,2100/
183,20191015,2200/
215,20191015,2300/
227,20191016,0000/
217,20191016,0100/
189,20191016,0200/
145,20191016,0300/
94,20191016,0400/
53,20191016,0500/
32,20191016,0600/
33,20191016,0700/
54,20191016,0800/
94,20191016,0900/
140,20191016,1000/
184,20191016,1100/
210,20191016,1200/
215,20191016,1300/
200,20191016,1400/
167,20191016,1500/
119,20191016,1600/
81,20191016,1700/
62,20191016,1800/
67,20191016,1900/
93,20191016,2000/
131,20191016,2100/
177,20191016,2200/
214,20191016,2300/
232,20191017,0000/
231,20191017,0100/
210,20191017,0200/
168,20191017,0300/
117,20191017,0400/
71,20191017,0500/
39,20191017,0600/
30,20191017,0700/
42,20191017,0800/
75,20191017,0900/
119,20191017,1000/
166,20191017,1100/
198,20191017,1200/
212,20191017,1300/
206,20191017,1400/
181,20191017,1500/
140,20191017,1600/
98,20191017,1700/
71,20191017,1800/
67,20191017,1900/
85,20191017,2000/
119,20191017,2100/
163,20191017,2200/
204,20191017,2300/
232,20191018,0000/
239,20191018,0100/
225,20191018,0200/
193,20191018,0300/
143,20191018,0400/
91,20191018,0500/
54,20191018,0600/
34,20191018,0700/
36,20191018,0800/
61,20191018,0900/
98,20191018,1000/
141,20191018,1100/
180,20191018,1200/
201,20191018,1300/
205,20191018,1400/
190,20191018,1500/
158,20191018,1600/
116,20191018,1700/
85,20191018,1800/
72,20191018,1900/
82,20191018,2000/
108,20191018,2100/
147,20191018,2200/
187,20191018,2300/
219,20191019,0000/
236,20191019,0100/
231,20191019,0200/
209,20191019,0300/
168,20191019,0400/
118,20191019,0500/
75,20191019,0600/
48,20191019,0700/
40,20191019,0800/
50,20191019,0900/
79,20191019,1000/
118,20191019,1100/
157,20191019,1200/
185,20191019,1300/
195,20191019,1400/
189,20191019,1500/
169,20191019,1600/
134,20191019,1700/
101,20191019,1800/
83,20191019,1900/
85,20191019,2000/
104,20191019,2100/
133,20191019,2200/
168,20191019,2300/
202,20191020,0000/
223,20191020,0100/
227,20191020,0200/
213,20191020,0300/
184,20191020,0400/
142,20191020,0500/
101,20191020,0600/
68,20191020,0700/
50,20191020,0800/
50,20191020,0900/
66,20191020,1000/
96,20191020,1100/
130,20191020,1200/
162,20191020,1300/
180,20191020,1400/
183,20191020,1500/
173,20191020,1600/
150,20191020,1700/
121,20191020,1800/
99,20191020,1900/
91,20191020,2000/
101,20191020,2100/
121,20191020,2200/
