"","Begin_Date","Begin_Hour","Dolphin_BP","Mn_","Mn_nsong","Mn_other","Mn_social","Mn_song","fish_","fish_c","fish_p","minke_faint","minke_sw","uk_uk","dol_w","Notes","SiteID"
"122",2019-06-15,1,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"123",2019-06-15,2,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"124",2019-06-15,3,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"125",2019-06-15,4,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"126",2019-06-15,5,0,0,0,0,0,2,0,1,0,0,2,1,0,"; ; ; ; ; possible whale","WP"
"127",2019-06-15,6,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"128",2019-06-15,7,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"129",2019-06-15,8,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"130",2019-06-15,9,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"131",2019-06-15,10,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"132",2019-06-15,11,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"133",2019-06-15,12,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"134",2019-06-15,13,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"135",2019-06-15,14,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"136",2019-06-15,15,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"WP"
"137",2019-06-15,16,0,0,0,0,0,2,0,2,0,0,0,0,0,"; ; ; ","WP"
"138",2019-06-15,17,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"139",2019-06-15,18,0,0,0,0,0,1,0,2,0,0,0,0,0,"; ; ","WP"
"140",2019-06-15,19,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"141",2019-06-15,20,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,"WP"
"142",2019-06-15,21,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"143",2019-06-15,22,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"144",2019-06-15,23,0,0,0,0,0,1,0,0,0,0,1,0,1,NA,"WP"
"145",2019-06-16,0,0,0,0,0,0,2,0,0,0,0,2,0,0,"; ; ; ","WP"
"146",2019-06-16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"147",2019-06-16,2,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"148",2019-06-16,3,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"149",2019-06-16,4,0,0,0,0,0,1,0,0,0,0,1,1,0,"; ; possible whale","WP"
"150",2019-06-16,5,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"151",2019-06-16,6,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"152",2019-06-16,7,0,0,0,0,0,1,0,0,0,0,1,0,0,"faint; ","WP"
"153",2019-06-16,8,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"WP"
"154",2019-06-16,9,0,0,0,0,0,1,0,0,0,0,1,1,0,"faint; ; possible whale","WP"
"155",2019-06-16,10,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"156",2019-06-16,11,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"157",2019-06-16,12,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"158",2019-06-16,13,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"159",2019-06-16,14,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"160",2019-06-16,15,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"161",2019-06-16,16,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"162",2019-06-16,17,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"WP"
"163",2019-06-16,18,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"WP"
"164",2019-06-16,19,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"WP"
"165",2019-06-16,20,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"166",2019-06-16,21,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"167",2019-06-16,22,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"168",2019-06-16,23,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"169",2019-06-17,0,0,0,0,0,0,2,0,0,0,0,2,1,0,"; possible whale; ","WP"
"170",2019-06-17,1,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"171",2019-06-17,2,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"172",2019-06-17,3,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"173",2019-06-17,4,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"174",2019-06-17,5,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"175",2019-06-17,6,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"176",2019-06-17,7,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"177",2019-06-17,8,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"178",2019-06-17,9,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"179",2019-06-17,10,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"180",2019-06-17,11,0,0,0,0,0,1,0,1,0,0,1,0,1,NA,"WP"
"181",2019-06-17,12,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"182",2019-06-17,13,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"183",2019-06-17,14,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"184",2019-06-17,15,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"185",2019-06-17,16,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"186",2019-06-17,17,0,0,0,0,0,1,0,2,0,0,0,0,0,NA,"WP"
"187",2019-06-17,18,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"WP"
"188",2019-06-17,19,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"189",2019-06-17,20,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"190",2019-06-17,21,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"191",2019-06-17,22,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"192",2019-06-17,23,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"193",2019-06-18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,"WP"
"194",2019-06-18,1,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"195",2019-06-18,2,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"196",2019-06-18,3,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,"WP"
"197",2019-06-18,4,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"198",2019-06-18,5,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"199",2019-06-18,6,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"200",2019-06-18,7,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"201",2019-06-18,8,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"202",2019-06-18,9,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"203",2019-06-18,10,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"204",2019-06-18,11,0,0,0,0,0,1,0,0,0,0,2,0,0,NA,"WP"
"205",2019-06-18,12,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"206",2019-06-18,13,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"207",2019-06-18,14,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"208",2019-06-18,15,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"209",2019-06-18,16,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"210",2019-06-18,17,0,0,0,0,0,2,0,2,0,0,0,0,0,NA,"WP"
"211",2019-06-18,18,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"212",2019-06-18,19,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"WP"
"213",2019-06-18,20,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"214",2019-06-18,21,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"215",2019-06-18,22,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"216",2019-06-18,23,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"217",2019-06-19,0,0,0,0,0,0,2,0,0,0,0,2,0,0,NA,"WP"
"218",2019-06-19,1,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"219",2019-06-19,2,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"220",2019-06-19,3,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"221",2019-06-19,4,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"222",2019-06-19,5,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"223",2019-06-19,6,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"224",2019-06-19,7,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"225",2019-06-19,8,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"226",2019-06-19,9,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"227",2019-06-19,10,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"228",2019-06-19,11,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"229",2019-06-19,12,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"230",2019-06-19,13,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"231",2019-06-19,14,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"232",2019-06-19,15,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"233",2019-06-19,16,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"234",2019-06-19,17,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"235",2019-06-19,18,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,"WP"
"236",2019-06-19,19,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"237",2019-06-19,20,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"238",2019-06-19,21,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"239",2019-06-19,22,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"240",2019-06-19,23,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"241",2019-06-20,0,0,0,0,0,0,2,0,0,0,0,2,0,0,NA,"WP"
"242",2019-06-20,1,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"243",2019-06-20,2,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"244",2019-06-20,3,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"245",2019-06-20,4,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"246",2019-06-20,5,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"247",2019-06-20,6,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"248",2019-06-20,7,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"249",2019-06-20,8,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"250",2019-06-20,9,0,0,0,0,0,1,0,0,0,0,1,0,1,NA,"WP"
"251",2019-06-20,10,0,0,0,0,0,1,0,0,0,0,1,1,1,"probably dolphins; ; ","WP"
"252",2019-06-20,11,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"253",2019-06-20,12,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"254",2019-06-20,13,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"255",2019-06-20,14,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"256",2019-06-20,15,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
