"","Begin_Date","Begin_Hour","bal_uk","dol_E","dol_EC","dol_W","dol_w.x","fish_","fish_c","fish_o","fish_p","fish_p\","fish_pp","fish_social","minke_***","minke_boing","mn_p","mn_s","mn_soc","mn_socia","mn_sociak'","mn_social","mn_song","mn_sonmg","uk_Lfdownsweeps","uk_uk","uk_ukLFp","uk_ukj","dol_w.y","Notes","SiteID"
"110",2019-09-29,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; **recheck- headphones dead","NGN"
"111",2019-09-29,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"112",2019-09-29,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; ; ","NGN"
"113",2019-09-29,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"114",2019-09-29,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"115",2019-09-29,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"116",2019-09-29,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"117",2019-09-29,20,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"; ; ; LOUD","NGN"
"118",2019-09-29,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,NA,"; LF pulse; ; LOUD; LF pulse","NGN"
"119",2019-09-29,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; ","NGN"
"120",2019-09-29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"121",2019-09-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"122",2019-09-30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,NA,"; ; LF pulse; LF groan","NGN"
"123",2019-09-30,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"124",2019-09-30,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"125",2019-09-30,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,NA,"; ?; ; ","NGN"
"126",2019-09-30,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"127",2019-09-30,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; faint; LF pulses","NGN"
"128",2019-09-30,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,NA,"; ; LF pulses; ; ?","NGN"
"129",2019-09-30,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"130",2019-09-30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"131",2019-09-30,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"132",2019-09-30,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; ; ","NGN"
"133",2019-09-30,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; ; ","NGN"
"134",2019-09-30,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,"NGN"
"135",2019-09-30,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"136",2019-09-30,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"137",2019-09-30,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"138",2019-09-30,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"139",2019-09-30,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"140",2019-09-30,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"141",2019-09-30,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"142",2019-09-30,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"143",2019-09-30,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"144",2019-09-30,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,"NGN"
"145",2019-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; ","NGN"
"146",2019-10-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; faint; LF pulses","NGN"
"147",2019-10-01,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; faint","NGN"
"148",2019-10-01,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"faint; ","NGN"
"149",2019-10-01,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,"; LF pulses; ; ; ","NGN"
"150",2019-10-01,5,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; ; ; LF pulses; ","NGN"
"151",2019-10-01,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; faint","NGN"
