SiteID,Start.date,Start.hour,PresentTotal,PresenceTime,CPAPresent,TBPresent,ManeuverCPAPres,ManeuverTAPres,TAPresent,VesselCount,HumpbackPresent,DolphinPresent,Baleen,Minke,Other_Bio,FishChorusP,SnappingShrimp,Notes,ExtraNotes,Biology,Weekday
West Pimpernel,1/6/2019,5,0,,0,0,0,0,0,0,0,0,0,0,,1,1,1-2 khz,,"Fish Chorus, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,6,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,7,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,8,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,9,1,,0,2,0,0,1,3,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,10,1,,0,0,0,0,1,1,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,11,1,,0,0,0,2,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,12,1,,1,0,0,0,0,1,0,0,0,0,1,0,1,,squeaky calls 12:10:12,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,13,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,15,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
West Pimpernel,1/6/2019,18,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Sunday
