SiteID,Start.date,Start.hour,PresentTotal,PresenceTime,CPAPresent,TBPresent,ManeuverCPAPres,ManeuverTAPres,TAPresent,VesselCount,HumpbackPresent,DolphinPresent,Baleen,Minke,Other_Bio,FishChorusP,SnappingShrimp,Notes,ExtraNotes,Biology,Weekday
Cod Grounds,1/1/2019,1,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Tuesday
Cod Grounds,1/1/2019,2,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,3,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,humpback 3:24:47,"Baleen Whales, Snapping Shrimp",Tuesday
Cod Grounds,1/1/2019,4,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,5,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,6,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,7,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,,squeaky dolphin/fish sounds 07:16:59,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,8,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,9,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,10,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,11,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,,squeaky dolphin/fish sounds 11:22:31,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,12,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,13,1,,0,0,0,0,1,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,16,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,17,1,,0,0,0,1,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,18,1,,0,0,0,0,1,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,19,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,,dolphin/fish clicking/squeaking at 19:17:00,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,20,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,check possible whale 20:13:41,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,21,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,22,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
Cod Grounds,1/1/2019,23,0,,0,0,0,0,0,0,2,0,0,0,,0,1,,"humpback 23:08:12, 23:15:09","Baleen Whales, Delphinid spp., Snapping Shrimp",Tuesday
Cod Grounds,1/2/2019,0,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,"loud EC at 0:10:26; weird lower frequency buzzes, not quite BP ~0:13:44","Delphinid spp., Snapping Shrimp",Wednesday
Cod Grounds,1/2/2019,1,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Wednesday
Cod Grounds,1/2/2019,2,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,3,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Wednesday
Cod Grounds,1/2/2019,4,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,check possible whale 04:23:17,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,5,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 Hz,,"Fish Chorus, Snapping Shrimp",Wednesday
Cod Grounds,1/2/2019,6,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,7,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,humpback 7:05:30,"Baleen Whales, Snapping Shrimp",Wednesday
Cod Grounds,1/2/2019,8,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,9,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,10,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,11,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,12,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,13,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,check possible blue whale 15:15:03,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,18,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
Cod Grounds,1/2/2019,19,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
