dep,PARKSAUSTRALIA_CGMP_201807_CG_27,PARKSAUSTRALIA_CGMP_201807_CG_28,PARKSAUSTRALIA_CGMP_201807_CG_29,PARKSAUSTRALIA_CGMP_201807_CG_30,PARKSAUSTRALIA_CGMP_201812_CG_1,PARKSAUSTRALIA_CGMP_201812_CG_2,PARKSAUSTRALIA_CGMP_201812_CG_3,PARKSAUSTRALIA_CGMP_201812_CG_4,PARKSAUSTRALIA_CGMP_201812_CG_5,PARKSAUSTRALIA_CGMP_201812_CG_51,PARKSAUSTRALIA_CGMP_201812_CG_52,PARKSAUSTRALIA_CGMP_201812_CG_6,PARKSAUSTRALIA_CGMP_201812_CG_7,PARKSAUSTRALIA_CGMP_201904_CG_17,PARKSAUSTRALIA_CGMP_201904_CG_18,PARKSAUSTRALIA_CGMP_201904_CG_19,PARKSAUSTRALIA_CGMP_201904_CG_20,PARKSAUSTRALIA_CGMP_201904_CG_21,PARKSAUSTRALIA_CGMP_201904_CG_22,PARKSAUSTRALIA_CGMP_201904_CG_23,PARKSAUSTRALIA_CGMP_201904_CG_24,PARKSAUSTRALIA_CGMP_201904_CG_25,PARKSAUSTRALIA_SIMP_201808_WP_33,PARKSAUSTRALIA_SIMP_201808_WP_34,PARKSAUSTRALIA_SIMP_201808_WP_35,PARKSAUSTRALIA_SIMP_201808_WP_36,PARKSAUSTRALIA_SIMP_201812_WP_1,PARKSAUSTRALIA_SIMP_201812_WP_2,PARKSAUSTRALIA_SIMP_201812_WP_51,PARKSAUSTRALIA_SIMP_201812_WP_52,PARKSAUSTRALIA_SIMP_201906_WP_25,PARKSAUSTRALIA_SIMP_201906_WP_26,PARKSAUSTRALIA_SIMP_201906_WP_27,PARKSAUSTRALIA_SIMP_201906_WP_28,PARKSAUSTRALIA_SIMP_201906_WP_29,PARKSAUSTRALIA_SIMP_201906_WP_30,PARKSAUSTRALIA_SIMP_201906_WP_31
PARKSAUSTRALIA_CGMP_201904_CG_24,0.01062560866388044,0.008970490300844203,0.0076086415844686985,0.007008428959438764,0.010424426624251918,0.02420845515864152,0.0121600368439337,0.01574502100065101,0.011007386317763367,0.014020238685612588,0.014953908459077138,0.020262222118575698,0.019208144852751505,0.011562862378469273,0.008583069636407124,0.012204096751675688,0.012474735343914339,0.010139761914713925,0.009510735647033811,0.00876766938832779,0,0.008463729052108165,0.023124747096714086,0.022428380370806463,0.021179411097019544,0.019063762222803864,0.044107673452814064,0.048372955004743236,0.034326004507762804,0.04129320744004737,0.02360184660857457,0.02145681720603065,0.02189860231023153,0.016421083550022055,0.0181208682101661,0.020318519368852726,0.024772504470617043
PARKSAUSTRALIA_CGMP_201904_CG_25,0.013864966430565255,0.014112098896933094,0.013265403112439286,0.012531996793310988,0.016312445063715545,0.0309008924788985,0.01887349877270188,0.022211311963815213,0.01744424717773455,0.02073422001726122,0.020076748630412186,0.027020819708918457,0.02548893597836158,0.019608314734847313,0.016226388442653554,0.01928143290575163,0.019833286365095074,0.017519539884030374,0.016763776465355474,0.015084459163931519,0.008463729052108165,0,0.02930632020230995,0.02813103934347215,0.02661265709543631,0.02334494331458764,0.050915714882213574,0.05504515490722057,0.04090642857776615,0.047995581088265744,0.03007192702627222,0.028018597656692255,0.028412429523090456,0.019329847024221275,0.0233326899235913,0.026137659495166624,0.031085879217395033
PARKSAUSTRALIA_SIMP_201808_WP_33,0.02166963289755647,0.01948344955170057,0.01875238496616607,0.018589489634032723,0.01912839880190143,0.014341144939068027,0.017081409353658435,0.017295432219405202,0.016760371092969694,0.015883299737416867,0.02237521122362832,0.013241350665034443,0.01581941978117688,0.017321835399532592,0.01853519415742651,0.01914048282509978,0.01880543200682307,0.01754749119937034,0.018868476964089737,0.022776117005052762,0.023124747096714086,0.02930632020230995,0,0.0036186516865615707,0.005002301126014287,0.011274990955583717,0.025381845889698128,0.029166797114041913,0.014237183381176004,0.022780953078998925,0.007830891225406963,0.005627081360801969,0.0060443095968622474,0.011930618409787654,0.007827526746871304,0.00596689017674303,0.005870315723564974
PARKSAUSTRALIA_SIMP_201808_WP_34,0.022311223259482794,0.019788517642960014,0.01948765251828156,0.01871887398154582,0.020123015114238644,0.015263895109554042,0.018267939551778287,0.01777133613941902,0.017768068659130345,0.01621830899621029,0.022338700600231423,0.01428259805702288,0.016385449541990723,0.01905028047798494,0.019495111330956348,0.01997546326466652,0.0194775052926798,0.01817969737191117,0.0194779048937291,0.022638478380293117,0.022428380370806463,0.02813103934347215,0.0036186516865615707,0,0.004031560915537711,0.010622604678388064,0.02811738466487209,0.03184740578882345,0.016913384402141816,0.025295574985025618,0.00970270351118652,0.007195505829678784,0.007190227744147771,0.010976076525015354,0.006695983521005159,0.005297334625960747,0.006859725528013452
PARKSAUSTRALIA_SIMP_201808_WP_35,0.02144206695653198,0.018896026979483095,0.01812077948707,0.017560132406856905,0.01957010164408869,0.016795799351730565,0.017960023607444746,0.018789453403424902,0.016793721600267698,0.01693960801078775,0.02227697351952169,0.01528208230437288,0.01703372608520758,0.018939600237227003,0.019382729664574723,0.020908364610628522,0.020692453218738402,0.01881641643592157,0.01975201097654558,0.022683519611927473,0.021179411097019544,0.02661265709543631,0.005002301126014287,0.004031560915537711,0,0.006679219990299309,0.030249628146227864,0.03395525929660692,0.01903643878357756,0.027543573568204187,0.011582965794463988,0.008724569679239718,0.008951968082252302,0.009197250017968466,0.005693306517521457,0.006119023602990408,0.009633841924484906
PARKSAUSTRALIA_SIMP_201808_WP_36,0.02071414210040065,0.018288496802582484,0.01745859858119719,0.016758846568179647,0.01949994603155056,0.01866579473224109,0.018285901064749383,0.019203065521240233,0.01627355283821215,0.01744011697390378,0.021565782302178926,0.016654440270995913,0.01766029046011822,0.01942051640117969,0.019672916854645024,0.021469957443782512,0.021224310864100676,0.01911758676094413,0.020081154214699387,0.021845364854100324,0.019063762222803864,0.02334494331458764,0.011274990955583717,0.010622604678388064,0.006679219990299309,0,0.03619950278808182,0.04003211562299884,0.025105975510103556,0.0336497899216266,0.015772009464275098,0.013376569924504282,0.013764822693450958,0.005760850123496959,0.006806441491080927,0.010854123496163439,0.016059450565076704
PARKSAUSTRALIA_SIMP_201812_WP_1,0.03800961135975344,0.03893495303492077,0.03899432399493594,0.039808729644485896,0.03601283993746699,0.023629131995590212,0.033626861261725344,0.03212139203779933,0.036520195818144224,0.033042102613401604,0.03998710532273035,0.027147485743622454,0.03264041580932973,0.033584323405531004,0.03589631837837424,0.03292871223717198,0.03455296349028426,0.03681056768949304,0.03596517485573457,0.040536920200545806,0.044107673452814064,0.050915714882213574,0.025381845889698128,0.02811738466487209,0.030249628146227864,0.03619950278808182,0,0.004871522364943844,0.01147880989508819,0.004177790195251977,0.02268526171328727,0.024900854647654024,0.024703353092937683,0.0365313154538447,0.03241065681780191,0.028228984517421,0.022867167683904704
PARKSAUSTRALIA_SIMP_201812_WP_2,0.0421823444890284,0.04316532704899529,0.04323651327158749,0.04405679993988601,0.04016798859809427,0.027428082872609057,0.037777455844794125,0.03614158042894829,0.04063476342769786,0.037136023359127024,0.04343655255189012,0.031197851022431694,0.03643751757711108,0.037969697569382774,0.040148052282091416,0.037133656287255574,0.03875386212246233,0.04102181195224319,0.04017678358313749,0.0444381440230825,0.048372955004743236,0.05504515490722057,0.029166797114041913,0.03184740578882345,0.03395525929660692,0.04003211562299884,0.004871522364943844,0,0.015037307324598832,0.007690397826592047,0.02667157300748649,0.02894270887875027,0.0286926934798003,0.04033056169581739,0.03624788786920578,0.032014179568310895,0.026595357374270108
PARKSAUSTRALIA_SIMP_201812_WP_51,0.028513542127564465,0.0290449405242245,0.028970376769249365,0.029749429062497633,0.025674559099315503,0.015755592606567254,0.02332479888642674,0.02164156881352971,0.02595960673794127,0.0226503964425756,0.029275210669189436,0.01790920271122262,0.021994825565041648,0.023858211875167453,0.026023918118190974,0.0231222594904019,0.02476000277946113,0.026908078156346417,0.026178604936748208,0.030564610843413345,0.034326004507762804,0.04090642857776615,0.014237183381176004,0.016913384402141816,0.01903643878357756,0.025105975510103556,0.01147880989508819,0.015037307324598832,0,0.00945303028753925,0.011946961639116764,0.014112585919064708,0.013836805833981041,0.025412129648350493,0.02128556251377453,0.017225667714095682,0.011827410596317294
PARKSAUSTRALIA_SIMP_201812_WP_52,0.035462085785050994,0.0364088491679189,0.03639809996890808,0.03711455993485061,0.03311635698008372,0.02138850968543651,0.030739526937019406,0.02904844430360579,0.03360118553318311,0.03008180632558511,0.03647886085093378,0.02431610068792879,0.029395925131860068,0.031058552834805474,0.033063586323217216,0.03006356670230431,0.0316832107058075,0.03395089722940621,0.03310276779468875,0.03749349835548097,0.04129320744004737,0.047995581088265744,0.022780953078998925,0.025295574985025618,0.027543573568204187,0.0336497899216266,0.004177790195251977,0.007690397826592047,0.00945303028753925,0,0.019761236332860026,0.022075849220286298,0.021822069463518008,0.03350621344541422,0.029458415228981037,0.025257619547374828,0.019879654833525804
PARKSAUSTRALIA_SIMP_201906_WP_25,0.019425172425794508,0.019225819948238545,0.019037614407308754,0.01960289572239083,0.01600869565979955,0.009662154466052583,0.01406819222512088,0.01248820083398296,0.015993479376710414,0.01286815545733357,0.0194300833891569,0.00965022028479929,0.012666540735935105,0.015445146207643104,0.015732611663956893,0.01397227346673776,0.014643077455095289,0.016023389700533738,0.015320904188501336,0.019725956362034374,0.02360184660857457,0.03007192702627222,0.007830891225406963,0.00970270351118652,0.011582965794463988,0.015772009464275098,0.02268526171328727,0.02667157300748649,0.011946961639116764,0.019761236332860026,0,0.0034830031525612914,0.003572492714943761,0.014410011899776124,0.011173496438220014,0.008057985875941285,0.004448539538946594
