"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
15 "Spectrogram 1" 1 19135.125676419 19136.382506584 944.753 1093.464 "2020/9/11" "5:02:47.1257" "5:02:48.3825" 1.2568 "fish" "p" ""
1 "Spectrogram 1" 1 15.573765084 28.907093788 34.991 1137.203 "2020/9/11" "23:43:58.5738" "23:44:11.9071" 13.3333 "mn" "song" ""
2 "Spectrogram 1" 1 95.182620431 97.83232011 65.608 297.422 "2020/9/11" "23:45:18.1826" "23:45:20.8323" 2.6497 "fish" "p" ""
3 "Spectrogram 1" 1 1010.532920752 1017.538906344 48.112 363.03 "2020/9/12" "0:00:33.5329" "0:00:40.5389" 7.006 "fish" "p" ""
4 "Spectrogram 1" 1 1017.134714867 1028.317345715 634.209 922.884 "2020/9/12" "0:00:40.1347" "0:00:51.3173" 11.1826 "mn" "song" ""
5 "Spectrogram 1" 1 5153.488015797 5164.715556808 34.991 918.51 "2020/9/12" "1:09:36.4880" "1:09:47.7156" 11.2275 "mn" "song" ""
6 "Spectrogram 1" 1 5186.829340335 5189.613770506 87.477 306.17 "2020/9/12" "1:10:09.8293" "1:10:12.6138" 2.7844 "fish" "p" ""
7 "Spectrogram 1" 1 8191.320346323 8204.254473568 306.17 546.732 "2020/9/12" "2:00:14.3203" "2:00:27.2545" 12.9341 "mn" "song" ""
8 "Spectrogram 1" 1 8207.757466364 8211.03590834 109.346 358.656 "2020/9/12" "2:00:30.7575" "2:00:34.0359" 3.2784 "fish" "p" ""
9 "Spectrogram 1" 1 11848.589812516 11852.991008592 118.094 363.03 "2020/9/12" "3:01:11.5898" "3:01:15.9910" 4.4012 "fish" "p" ""
10 "Spectrogram 1" 1 12147.287407342 12153.7095608 231.814 586.097 "2020/9/12" "3:06:10.2874" "3:06:16.7096" 6.4222 "mn" "song" ""
11 "Spectrogram 1" 1 15412.275441367 15422.335318114 100.599 717.312 "2020/9/12" "4:00:35.2754" "4:00:45.3353" 10.0599 "mn" "song" ""
12 "Spectrogram 1" 1 15495.152676849 15498.520939153 65.608 411.142 "2020/9/12" "4:01:58.1527" "4:02:01.5209" 3.3683 "fish" "p" ""
13 "Spectrogram 1" 1 19101.431124033 19108.39219946 209.945 616.714 "2020/9/12" "5:02:04.4311" "5:02:11.3922" 6.9611 "mn" "song" ""
14 "Spectrogram 1" 1 19089.754481381 19094.919150246 104.973 328.039 "2020/9/12" "5:01:52.7545" "5:01:57.9192" 5.1647 "fish" "p" ""
15 "Spectrogram 1" 1 22647.017956774 22655.999989583 590.471 927.258 "2020/9/12" "6:01:08.0180" "6:01:17.0000" 8.982 "mn" "song" ""
16 "Spectrogram 1" 1 22655.416157451 22658.784419754 65.608 363.03 "2020/9/12" "6:01:16.4162" "6:01:19.7844" 3.3683 "fish" "p" ""
17 "Spectrogram 1" 1 26256.934127246 26260.661670861 96.225 454.881 "2020/9/12" "7:01:18.9341" "7:01:21.6617" 3.7275 "fish" "p" ""
18 "Spectrogram 1" 1 26270.002984983 26278.086814512 253.684 384.899 "2020/9/12" "7:01:31.0030" "7:01:39.0868" 8.0838 "mn" "song" ""
19 "Spectrogram 1" 1 29863.464052598 29867.236506378 78.729 485.498 "2020/9/12" "8:01:24.4641" "8:01:28.2365" 3.7725 "fish" "p" ""
20 "Spectrogram 1" 1 29837.775438763 29846.443100424 607.966 848.528 "2020/9/12" "8:00:58.7754" "8:01:07.4431" 8.6677 "mn" "song" ""
21 "Spectrogram 1" 1 33442.706581025 33456.224540404 411.142 712.939 "2020/9/12" "9:01:03.7066" "9:01:17.2245" 13.518 "mn" "song" ""
22 "Spectrogram 1" 1 33455.999989583 33465.700585017 74.356 332.413 "2020/9/12" "9:01:17.0000" "9:01:26.7006" 9.7006 "fish" "p" ""
23 "Spectrogram 1" 1 36290.065867546 36295.859278708 905.388 1648.944 "2020/9/12" "9:48:31.0659" "9:48:36.8593" 5.7934 "fish" "c" ""
24 "Spectrogram 1" 1 37012.679632844 37017.170649248 293.048 1084.716 "2020/9/12" "10:00:33.6796" "10:00:38.1706" 4.491 "mn" "song" ""
25 "Spectrogram 1" 1 37025.973041402 37033.203577813 56.86 358.656 "2020/9/12" "10:00:47.9730" "10:00:54.2036" 7.2305 "fish" "p" ""
26 "Spectrogram 1" 1 40691.730528599 40699.679627635 118.094 323.665 "2020/9/12" "11:01:52.7305" "11:02:00.6796" 7.9491 "fish" "p" ""
27 "Spectrogram 1" 1 40696.985017793 40699.275436159 642.957 1701.43 "2020/9/12" "11:01:58.9850" "11:02:00.2754" 2.2904 "mn" "song" ""
28 "Spectrogram 1" 1 44370.152682058 44374.149686658 74.356 393.647 "2020/9/12" "12:03:10.1527" "12:03:14.1497" 3.997 "fish" "p" ""
29 "Spectrogram 1" 1 44553.507941729 44561.80156588 74.405 312.5 "2020/9/12" "12:06:14.5079" "12:06:22.8016" 8.2936 "fish" "c" ""
30 "Spectrogram 1" 1 45040.401196077 45050.371252495 1714.552 1880.758 "2020/9/12" "12:14:20.4012" "12:14:30.3713" 9.9701 "uk" "uk" "vessel?"
31 "Spectrogram 1" 1 46100.17363944 46103.452081415 594.844 1697.056 "2020/9/12" "12:32:00.1736" "12:32:04.4521" 3.2784 "mn" "song" ""
32 "Spectrogram 1" 1 47808.143706275 47821.257474177 96.225 1307.783 "2020/9/12" "13:00:28.1437" "13:00:41.2575" 13.1138 "mn" "song" ""
33 "Spectrogram 1" 1 47823.907173855 47827.095795503 74.356 363.03 "2020/9/12" "13:00:44.9072" "13:00:47.0958" 3.1886 "fish" "p" ""
34 "Spectrogram 1" 1 51479.64969447 51488.63172728 669.2 1740.795 "2020/9/12" "14:01:40.6497" "14:01:49.6317" 8.982 "mn" "song" ""
35 "Spectrogram 1" 1 51496.805377136 51502.28441715 61.234 441.759 "2020/9/12" "14:01:57.8054" "14:02:02.2844" 5.479 "fish" "p" ""
36 "Spectrogram 1" 1 55064.532920752 55084.473033589 301.796 1045.352 "2020/9/12" "15:01:25.5329" "15:01:45.4730" 19.9401 "mn" "song" ""
37 "Spectrogram 1" 1 55106.182625639 55109.550887943 56.86 463.629 "2020/9/12" "15:02:06.1826" "15:02:10.5509" 3.3683 "fish" "p" ""
38 "Spectrogram 1" 1 58656.395205277 58671.260469576 341.161 1207.184 "2020/9/12" "16:01:16.3952" "16:01:31.2605" 14.8653 "mn" "song" ""
39 "Spectrogram 1" 1 58688.146691258 58691.919145038 83.103 376.152 "2020/9/12" "16:01:48.1467" "16:01:52.9191" 3.7725 "fish" "p" ""
40 "Spectrogram 1" 1 62224.437120041 62241.952084019 56.86 734.808 "2020/9/12" "17:00:45.4371" "17:01:02.9521" 17.515 "mn" "song" ""
41 "Spectrogram 1" 1 62242.8502873 62245.455076815 34.991 384.899 "2020/9/12" "17:01:03.8503" "17:01:06.4551" 2.6048 "fish" "p" ""
42 "Spectrogram 1" 1 65852.452086624 65856.898192864 52.486 756.677 "2020/9/12" "18:01:11.4521" "18:01:15.8982" 4.4461 "mn" "song" ""
43 "Spectrogram 1" 1 65882.092794895 65884.607764081 52.486 384.899 "2020/9/12" "18:01:40.0928" "18:01:43.6078" 2.515 "fish" "p" ""
44 "Spectrogram 1" 1 69396.691614443 69403.562869542 26.243 1277.166 "2020/9/12" "19:00:15.6916" "19:00:22.5629" 6.8713 "mn" "song" ""
45 "Spectrogram 1" 1 69415.464063015 69418.068852529 21.869 314.918 "2020/9/12" "19:00:34.4641" "19:00:36.0689" 2.6048 "fish" "p" ""
46 "Spectrogram 1" 1 73032.071847929 73047.251483377 336.787 1032.23 "2020/9/12" "20:00:50.0718" "20:01:06.2515" 15.1796 "mn" "song" ""
47 "Spectrogram 1" 1 73046.982022393 73050.889206665 69.982 323.665 "2020/9/12" "20:01:05.9820" "20:01:09.8892" 3.9072 "fish" "p" ""
48 "Spectrogram 1" 1 76911.179635448 76933.365256487 756.677 1062.847 "2020/9/12" "21:05:30.1796" "21:05:52.3653" 22.1856 "fish" "c" ""
49 "Spectrogram 1" 1 76958.667661661 76968.143706275 26.243 708.565 "2020/9/12" "21:06:17.6677" "21:06:27.1437" 9.476 "mn" "song" ""
