"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
79 "Spectrogram 1" 1 80693.235852738 80695.158973196 32.263 774.322 "2019/9/26" "3:17:11.2359" "3:17:13.1590" 1.9231 "fish" "p" "? [yep! -- JM]"
80 "Spectrogram 1" 1 82495.526735936 82497.018135474 16.132 177.449 "2019/9/26" "3:47:13.5267" "3:47:15.0181" 1.4914 "uk" "uk" "LF pulse"
81 "Spectrogram 1" 1 83283.077248143 83284.568647682 217.778 387.161 "2019/9/26" "4:00:21.0772" "4:00:22.5686" 1.4914 "mn" "song" ""
82 "Spectrogram 1" 1 84954.565417341 84956.05681688 0 96.79 "2019/9/26" "4:28:12.5654" "4:28:14.0568" 1.4914 "uk" "uk" "LF pulses"
90 "Spectrogram 1" 1 20020.595672417 20023.965990248 39.503 112.867 "2019/9/25" "10:26:01.5957" "10:26:04.9660" 3.3703 "bal" "uk" "JM -- downsweeps, seem inconsistent w mn song"
93 "Spectrogram 1" 1 26631.622385049 26666.188847035 777.385 1810.954 "2019/9/25" "12:16:11.6224" "12:16:46.1888" 34.5665 "fish" "c" "JM"
1 "Spectrogram 1" 1 1.844625745 5.494629879 205.323 433.46 "2019/9/26" "4:51:56.8446" "4:52:00.4946" 3.65 "mn" "song" ""
2 "Spectrogram 1" 1 20.592037253 21.591111837 0 182.51 "2019/9/26" "4:52:15.5920" "4:52:16.5911" 0.9991 "uk" "uk" "LF pulses"
3 "Spectrogram 1" 1 493.659571809 495.102679541 193.916 399.24 "2019/9/26" "5:00:08.6596" "5:00:10.1027" 1.4431 "mn" "song" ""
4 "Spectrogram 1" 1 1492.079544134 1493.023114574 57.034 193.916 "2019/9/26" "5:16:47.0795" "5:16:48.0231" 0.9436 "uk" "uk" "LF pulses"
5 "Spectrogram 1" 1 4085.134122861 4088.131346612 57.034 330.798 "2019/9/26" "6:00:00.1341" "6:00:03.1313" 2.9972 "mn" "song" ""
6 "Spectrogram 1" 1 4161.940794191 4164.382976507 6870.768 7657.84 "2019/9/26" "6:01:16.9408" "6:01:19.3830" 2.4422 "dol" "w" ""
7 "Spectrogram 1" 1 5925.5189502 5925.962983349 11.407 285.171 "2019/9/26" "6:30:40.5190" "6:30:40.9630" 0.444 "uk" "uk" "LF pulses"
8 "Spectrogram 1" 1 7686.615270034 7691.628796105 145.763 509.936 "2019/9/26" "7:00:01.6153" "7:00:06.6288" 5.0135 "mn" "song" ""
9 "Spectrogram 1" 1 11311.975939177 11314.196104918 296.578 581.749 "2019/9/26" "8:00:26.9759" "8:00:29.1961" 2.2202 "mn" "song" ""
10 "Spectrogram 1" 1 11467.787233368 11468.841812095 267.442 965.116 "2019/9/26" "8:03:02.7872" "8:03:03.8418" 1.0546 "fish" "p" ""
11 "Spectrogram 1" 1 14892.571667746 14893.626246473 174.419 476.744 "2019/9/26" "9:00:07.5717" "9:00:08.6262" 1.0546 "mn" "song" ""
12 "Spectrogram 1" 1 15170.397751985 15171.674347286 0 1046.512 "2019/9/26" "9:04:45.3978" "9:04:46.6743" 1.2766 "fish" "p" ""
13 "Spectrogram 1" 1 18508.851039296 18511.515238186 209.302 465.116 "2019/9/26" "10:00:23.8510" "10:00:26.5152" 2.6642 "mn" "song" ""
14 "Spectrogram 1" 1 18904.02936165 18904.254767511 257.281 1091.549 "2019/9/26" "10:06:59.0294" "10:06:59.2548" 0.2254 "fish" "p" ""
15 "Spectrogram 1" 1 22116.804789315 22119.746508923 205.554 427.553 "2019/9/26" "11:00:30.8048" "11:00:33.7465" 2.9417 "mn" "song" ""
16 "Spectrogram 1" 1 22230.466211957 22231.243269966 8.222 304.22 "2019/9/26" "11:02:23.4662" "11:02:24.2433" 0.7771 "uk" "uk" "LF pulses"
17 "Spectrogram 1" 1 24864.421812808 24872.358905335 731.773 1101.771 "2019/9/26" "11:46:17.4218" "11:46:25.3589" 7.9371 "fish" "c" ""
18 "Spectrogram 1" 1 25725.535602856 25727.755768598 200.783 471.405 "2019/9/26" "12:00:38.5356" "12:00:41.7558" 2.2202 "mn" "song" ""
19 "Spectrogram 1" 1 25732.808602925 25744.567748782 705.447 1825.863 "2019/9/26" "12:00:46.8086" "12:00:57.5677" 11.7591 "fish" "c" "[JM added]"
20 "Spectrogram 1" 1 29310.127640109 29312.847343143 261.891 453.945 "2019/9/26" "13:00:23.1276" "13:00:26.8473" 2.7197 "mn" "song" ""
21 "Spectrogram 1" 1 29763.380195421 29764.212757574 968.998 1571.348 "2019/9/26" "13:07:56.3802" "13:07:57.2128" 0.8326 "fish" "p" ""
22 "Spectrogram 1" 1 32923.9093252 32928.29415254 218.243 419.026 "2019/9/26" "14:00:37.9093" "14:00:41.2942" 4.3848 "mn" "s" ""
23 "Spectrogram 1" 1 36492.183144253 36493.848268559 222.222 395.062 "2019/9/26" "15:00:05.1831" "15:00:07.8483" 1.6651 "mn" "song" ""
24 "Spectrogram 1" 1 36964.751141516 36966.52727411 371.013 519.418 "2019/9/26" "15:07:58.7511" "15:07:59.5273" 1.7761 "" "" "*i dont see it but think I heard it [I hear something but not sure if it's fish or recorder noise... would leave out for now -- JM]"
25 "Spectrogram 1" 1 40149.169263529 40151.333925127 113.208 498.113 "2019/9/26" "16:01:02.1693" "16:01:04.3339" 2.1647 "mn" "song" ""
26 "Spectrogram 1" 1 40346.075838151 40347.019408592 256.159 2753.714 "2019/9/26" "16:04:19.0758" "16:04:20.0194" 0.9436 "fish" "p" "? [yep! --JM]"
27 "Spectrogram 1" 1 43699.459740075 43701.124864381 260.377 633.962 "2019/9/26" "17:00:12.4597" "17:00:13.1249" 1.6651 "mn" "song" ""
28 "Spectrogram 1" 1 47346.932440294 47349.596639184 679.245 950.943 "2019/9/26" "18:00:59.9324" "18:01:02.5966" 2.6642 "mn" "song" ""
29 "Spectrogram 1" 1 48339.685458314 48340.906549472 27.876 158.491 "2019/9/26" "18:17:32.6855" "18:17:33.9065" 1.2211 "uk" "uk" "might be part of mn but its pretty low freq"
