"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
51 "Spectrogram 1" 1 13683.356115418 13685.481658989 59.653 249.458 "2022/1/18" "20:05:21.3561" "20:05:23.4817" 2.1255 "uk" "uk" "slanted line, low frequency"
52 "Spectrogram 1" 1 14054.968310092 14062.799260086 9820.69 21848.276 "2022/1/18" "20:11:32.9683" "20:11:40.7993" 7.8309 "uk" "uk" "snapping shrimp?"
54 "Spectrogram 1" 1 14102.569299034 14104.58297189 0 119.306 "2022/1/18" "20:12:20.5693" "20:12:22.5830" 2.0137 "uk" "uk" "possible fish pulse?"
55 "Spectrogram 1" 1 14365.812295396 14369.727770393 1073.753 1312.364 "2022/1/18" "20:16:43.8123" "20:16:47.7278" 3.9155 "uk" "uk" "small shadow"
56 "Spectrogram 1" 1 15040.325654664 15042.786810377 0 504.338 "2022/1/18" "20:27:58.3257" "20:28:00.7868" 2.4612 "uk" "uk" "possible fish pulse"
57 "Spectrogram 1" 1 15466.922305417 15475.648221126 395.879 585.683 "2022/1/18" "20:35:04.9223" "20:35:13.6482" 8.7259 "uk" "uk" "almost looks like an upsweep up some kind, very faint"
58 "Spectrogram 1" 1 16065.811061878 16068.048476163 0 111.171 "2022/1/18" "20:45:03.8111" "20:45:06.0485" 2.2374 "uk" "uk" "may be negligible, but slight low frequency bump"
59 "Spectrogram 1" 1 16648.019876101 16650.704773242 0 298.265 "2022/1/18" "20:54:46.0199" "20:54:48.7048" 2.6849 "uk" "uk" "noise shadow"
60 "Spectrogram 1" 1 16754.196389709 16759.00683042 140.998 460.954 "2022/1/18" "20:56:32.1964" "20:56:37.0068" 4.8104 "fish" "p" ""
61 "Spectrogram 1" 1 16763.369788274 16765.830943987 18.98 108.46 "2022/1/18" "20:56:41.3698" "20:56:43.8309" 2.4612 "uk" "uk" "possibly fish p, but very faint"
62 "Spectrogram 1" 1 17224.310748291 17225.205714005 5674.62 22906.725 "2022/1/18" "21:04:22.3107" "21:04:23.2057" 0.895 "uk" "uk" "shrimp?"
63 "Spectrogram 1" 1 17568.615291356 17577.788689921 732.104 914.317 "2022/1/18" "21:10:06.6153" "21:10:15.7887" 9.1734 "fish" "p" "[JM-- I think this is actually a distant vessel]"
64 "Spectrogram 1" 1 18191.891863515 18216.055937785 0 162.69 "2022/1/18" "21:20:29.8919" "21:20:54.0559" 24.1641 "uk" "uk" "[JM-- these are probably fish but can't confirm] Double check - very prominant, flag-like - dark low fequency flag"
65 "Spectrogram 1" 1 20678.050962049 20692.034801326 46.016 589 "2022/1/18" "22:01:56.0510" "22:02:10.0348" 13.9838 "uk" "uk" "faint pulses, maybe fish?"
